location,GADM_boxes,date,time,caption
Hong Kong,"[102]",20141004,215846+0000,"Student pro-democracy protesters continue to occupy the streets around government headquarters, Sunday, Oct. 5, 2014 in Hong Kong. In an apparent concession to authorities warning pro-democracy protesters to clear Hong Kong's streets by the beginning of the work week, students occupying the area outside city government headquarters agreed Sunday to remove some barricades that have blocked the building's entrance during the weeklong demonstrations. But it was not immediately clear how significant the move was and how much it would defuse the standoff, with many protesters vowing to stay in the area. (AP Photo/Wong Maye-E)"
Oakland,"[240/5/184]",20141125,214205+0000,"A protester adds wood to a fire burning in Oakland, Calif., on Tuesday, Nov. 25, 2014, a day after the announcement that a grand jury decided not to indict Ferguson police officer Darren Wilson in the fatal shooting of Michael Brown. Protesters briefly shut down two major freeways, vandalized police cars and looted businesses in downtown Oakland, smashing windows at cell phone stores, car dealerships, restaurants and convenience stores on a second night of protests. (AP Photo/Noah Berger)"
Port-au-Prince,"[99/8/33]",20150213,123418+0000,"Protesters chant anti-government slogans at a protest demanding the government lower fuel prices, in Port-au-Prince, Haiti, Friday, Feb. 13, 2015. Students marched through Haiti's capital to demand lower gas prices and the ouster of President Michel Martelly. (AP Photo/Dieu Nalio Chery)"
Mexico City,"[145/9]",20150208,121303+0000,"Animal rights activists, some wearing headbands with plastic bull horns and partially clothed, hold protest signs during a demonstration against bullfighting, demanding the sport be banned in Mexico, at the Benito Juarez Hemicycle, in Mexico City, Sunday, Feb. 8, 2015. (AP Photo/Marco Ugarte)"
Hong Kong,"[102]",20141016,144239+0000,"Hong Kong Chief Executive Leung Chun-ying answers questions from media during a press conference in Hong Kong Government House, Thursday, Oct. 16, 2014. Leung said officials have been negotiating with the students through middlemen in the past few days, and announced that authorities are keen to discuss details of democratic reform with them. (AP Photo/Kin Cheung)"
Hong Kong,"[102]",20141002,030425+0000,"A mother and daughter draw pictures to symbolise their hopes for democracy, Thursday, Oct. 2, 2014 in Hong Kong.  China's ruling party mouthpiece warned of \"chaos\" and expressed strong support for Hong Kong's embattled leader in his face-off with pro-democracy protesters who have threatened to occupy government offices unless he steps down by the end of Thursday. (AP Photo/Wong Maye-E)"
Bilbao,"[213/16]",20150110,193113+0000,"Pro-independence Basque demonstrators hold flags during a protest demanding the return of all prisoners of ETA, the Basque armed group, to the Basque country in Bilbao, northern Spain, Saturday Jan. 10, 2015. The Basque armed group ETA, who killed over 800 people, declared a total cease-fire in 2011. (AP Photo/Alvaro Barrientos)"
Hong Kong,"[102]",20141118,101545+0000,"A pro-democracy protester removes barricades from an occupied area outside government headquarters in Hong Kong's Admiralty district Tuesday, Nov. 18, 2014. The removal comes after a Hong Kong court granted a restraining order against the protesters last week requiring them to clear the area in front of a tower in the central part of Hong Kong as well a separate order against a second protest site Mong Kok brought by taxi and minibus operators. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141127,151755+0000,"Prominent Hong Kong student protest leader Joshua Wong talks to reporters after being thrown eggs by two men outside a court in Hong Kong Thursday, Nov. 27, 2014. Two men allegedly threw eggs at Wong and his lawyer as they were leaving court on Thursday. Wong and other democracy protesters were arrested the day before during a police operation to remove barricades from a protest camp in the unruly Mong Kok district. Wong was given bail and his case adjourned until January 14. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141002,141135+0000,"Pro-democracy protesters use their smartphones in a street during a rally in Hong Kong, Thursday, Oct. 2, 2014. China's ruling party mouthpiece warned of \"chaos\" and expressed strong support for Hong Kong's embattled leader Leung Chun-ying in his face-off with pro-democracy protesters who have threatened to occupy government offices unless he steps down by the end of Thursday. (AP Photo/Vincent Yu)"
Bangalore,"[105/17/218]",20150310,135111+0000,"An Exile Tibetan woman covers her face with a mask which reads \"Save Tibet\" during a demonstration to commemorate the anniversary of a failed 1959 uprising against China's rule in Tibet, in Bangalore, India, Tuesday, March 10, 2015. The uprising led to the flight of spiritual leader the Dalai Lama and the establishment of the Tibetan government-in-exile in a north Indian town. (AP Photo/Aijaz Rahi)"
Hong Kong,"[102]",20140929,070549+0000,"An upside down Chinese national flag appears between a Hong Kong flag and a red flag bearing the company logo of Hong Kong's Mass Transit Railway outside a commercial building which is in front of a main road occupied by thousands of protesters in Hong Kong, Monday, Sept. 29, 2014. Pro-democracy demonstrators defied onslaughts of tear gas and appeals from Hong Kong's top leader to go home, as the protests over Beijing's decision to limit political reforms expanded across the city early Monday. (AP Photo/Vincent Yu)"
Berlin,"[86/3/12]",20141203,100155+0000,"Protestor stand near cardboards showing coal power plants during a protest against the energy policy of German Chancellor Angela Merkel and her government in front of the chancellery, prior to the cabinet meeting in Berlin, Germany, Wednesday, Dec. 3, 2014. The cabinet will decide in the meeting about Germany's future energy policy. The poster reads: \"Mr. Gabriel stop coal power!\". Sigmar Gabriel is the Economy and Energy Minister of the government. (AP Photo/Markus Schreiber)"
Hong Kong,"[102]",20141004,142300+0000,"Pro-democracy student protesters become emotional during scuffle with local residents in Mong Kok, Hong Kong, Saturday, Oct. 4, 2014. Friction between pro-democracy protesters and opponents of their weeklong occupation of major Hong Kong streets persisted Saturday as police denied they had any connection to criminal gangs suspected of inciting attacks on largely peaceful demonstrators. (AP Photo/Wally Santana)"
Warsaw,"[179/9]",20150219,144700+0000,"A farmer gestures as hundreds of protesters gather in front of the office of Prime Minister Ewa Kopacz in Warsaw, Poland, Thursday, Feb. 19, 2015. They demand government compensation for crops lost to wild boar and for profits reduced by Russia's embargo against some Polish meat and dairy products. (AP Photo/Alik Keplicz)"
Hong Kong,"[102]",20141002,080042+0000,"A defaced sign is seen in the occupied main street outside of the government complex in Hong Kong, Thursday, Oct. 2, 2014. Raising the stakes in their standoff with the authorities, Hong Kong's pro-democracy protesters threatened to occupy key government buildings unless the territory's top official resigns by the end of the day Thursday. (AP Photo/Wally Santana)"
Yangon,"[154/14/59,154/14/60,154/14/61,154/14/62]",20150215,124401+0000,"Student activists hold various flags and placards as they march to protest the National Education Law, Sunday, Feb.15, 2015, in Yangon, Myanmar. University students from across Myanmar on Friday rejected a government warning that they stop protesting against a new education law that they say prohibits them from engaging in political activities and curbs academic freedom. (AP Photo/Khin Maung Win)"
Hong Kong,"[102]",20141204,172944+0000,"A man walks by tents on a main road in the occupied area outside government headquarters in Hong Kong Thursday, Dec. 4, 2014. Hong Kong student leaders said Thursday they're considering retreating from protest sites on city streets after more than two months in the latest sign that momentum is fading in their movement for greater democracy. (AP Photo/Kin Cheung)"
Denver,"[240/6/258]",20141203,123350+0000,"East High School students march in a protest against the Ferguson, Missouri grand jury decision, along a busy street in front of the state Capitol in Denver, Wednesday Dec. 3, 2014. Authorities said four Denver police officers were hit by a car while watching the high school students protest.   (AP Photo/Brennan Linsley)"
Lakewood,"[240/6/272]",20141003,171534+0000,"Protestors engage with passing motorists in a demonstration against the Jefferson County School Board conservative majority's plan to form a special committee to reevaluate school curriculum, in the Denver suburb of Lakewood, Colo., Friday, Oct. 3, 2014. Students, parents and teachers in suburban Denver vowed to continue demonstrating against the school board's new majority after it refused to back off plans to review Advanced Placement U.S. history courses looking for what they regard as objectionably un-patriotic content. (AP Photo/Brennan Linsley)"
Hong Kong,"[102]",20141125,095919+0000,"A pro-democracy protester stand on the barricade at an occupied area before the barricade is removed at an occupied area in Mong Kok district of Hong Kong Tuesday, Nov. 25, 2014. Hong Kong authorities on Tuesday began clearing away some barricades from part of the pro-democracy protest site, scene of previous violent confrontations with police and angry mobs. (AP Photo/Kin Cheung)"
Hong Kong,"[102]",20141014,062402+0000,"Police officers stand guard after they removed  barricades that protesters have set up to block off main roads in Causeway Bay district in Hong Kong Tuesday, Oct. 14, 2014. Hong Kong police removed some of the barricades in a shopping district and opened one road that had been blocked by pro-democracy protesters for two weeks. (AP Photo/Vincent Yu)"
New Delhi,"[105/10/121]",20140918,085225+0000,"An Indian policeman detains Tibetan youth activists protesting near the Taj Hotel where the visiting Chinese President Xi Jinping is staying in New Delhi, India, Thursday, Sept. 18, 2014. Tibetan protests against China are common in India, and often increase during visits by Chinese leaders. (AP Photo/Tsering Topgyal)"
Atlanta,"[240/11/444]",20140904,124001+0000,"Protestors block Ponce de Leon Avenue outside a McDonald's restaurant demanding fast-food chains pay workers $15 an hour, Thursday, Sept. 4, 2014, in Atlanta. Calling for higher pay and the right to form a union without retaliation, fast-food chain workers in Atlanta protested Thursday as part of a wave of strikes and protests in 150 cities across the U.S. (AP Photo/David Goldman)"
Hong Kong,"[102]",20141003,093622+0000,"Police officers raise hands against protesters as an ambulance tries to leave the compound of the chief executive office in Hong Kong, Friday, Oct. 3, 2014. Hong Kong protesters on Friday welcomed an overnight offer by the territory's leader of talks to defuse the crisis over demonstrations seeking democratic reforms, though they continued to demand he resign and maintained barricades around government headquarters, frustrating staff going to work. (AP Photo/Vincent Yu)"
New Orleans,"[240/19/1148]",20141119,142445+0000,"Lavon Massey, 1, holds a sign as immigrants and activists hold a protest outside the U.S. Citizenship & Immigration Service office in New Orleans, Wednesday, Nov. 19, 2014. The event was  to draw attention to the possibility that many immigrants living illegally in the United States may not be shielded by an executive order President Barack Obama is expected to sign. (AP Photo/Gerald Herbert)"
Miami,"[240/10/360]",20141220,135045+0000,"A protester wears a hat with the colors of the Cuban flag at a protest in the Little Havana neighborhood of Miami, on Saturday, Dec. 20, 2014. More than 200 protesters rallied in opposition to President Barack Obama's plan to normalize relations with Cuba. (AP Photo/Rachel La Corte)"
Bucharest,"[185/10/0]",20141007,111611+0000,"A Romanian worker holds a megaphone during a protest by trade unionists from all over Romania in Bucharest, Romania, Tuesday, Oct. 7, 2014. Thousands joined a protest demanding changes to the employment legislation which, according to the trade unions, gives excessive powers to employers and offers very limited means for negotiating working conditions to the employees. (AP Photo/Vadim Ghirda)"
Hong Kong,"[102]",20141027,113637+0000,"A photographer holds the background paper on a main road in an occupied area outside the government headquarters in Hong Kong's Admiralty district in Hong Kong Monday, Oct. 27, 2014. A standoff between Hong Kong protesters and the government continues with no end in sight, demonstrators camping out on streets in three districts across the southern Chinese financial center for about a month now to demand greater democracy.  (AP Photo/Vincent Yu)"
Yangon,"[154/14/59,154/14/60,154/14/61,154/14/62]",20141229,173301+0000,"Myanmar Buddhist monks and activists hold placard read, \"Stop Murdering Project,\" as they march to protest for recent crackdown on protesters at a copper mine in northwestern Myanmar, Monday, Dec. 29, 2014, in Yangon, Myanmar. Villagers protesting their eviction for expansion of the Chinese-backed copper mine are continuing a stand-off with security forces. (AP Photo/Khin Maung Win)"
Sao Paulo,"[32/25/5212]",20150126,110318+0000,"A demonstrator hold signs that reads in Portuguese \"The water is at its end, our patience too,\" as they protest against the rationing of water outside the official residence of Sao Paulo's Governor Geraldo Alckmin in Sao Paulo, Brazil, Monday, Jan. 26, 2015. The system of reservoirs and rivers that provide water to millions in this city have received less rainfall than hoped in the worst drought in more than 80 years, raising fears they won't be replenished as hoped. (AP Photo/Andre Penner)"
Phnom Penh,"[39/16/108]",20150317,095101+0000,"Cambodian land-grabbing affected villager holds U.S. flags in front of U.S. Embassy in Phnom Penh, Cambodia, Tuesday, March 17, 2015. The group of Phnom Penh's land grabbing affected on Tuesday delivered petition to the embassy, asking U.S. First Lady Michelle Obama for intervention to encourage Cambodia government, to release detained land activists unconditionally free, according to their petition. The first lady is scheduled to arrive in Japan, her first stop, on Wednesday. On Friday, she heads to Cambodia.(AP Photo/Heng Sinith)"
Atlanta,"[240/11/444]",20140424,124026+0000,"U.S. Postal employee LeRoy Lavender uses a bullhorn to chant to passing motorist during a protest outside a Staples store, Thursday, April 24, 2014, in Atlanta. Thousands of postal workers picketed outside Staples stores nationwide Thursday to protest a pilot program that allows the office supply chain to handle U.S. mail. (AP Photo/David Goldman)"
Brasilia,"[32/1/3]",20150315,114014+0000,"Thousands of demonstrators take part in a protest against the government of Brazil's President Dilma Rousseff, in front of the Brazilian National Congress, in Brasilia, Brazil, Sunday, March 15, 2015. Protests have been called for across Brazil to demonstrate against President Dilma Rousseff, whose popularity has never been lower as she faces a sputtering economy and a massive corruption scandal. (AP Photo/Eraldo Peres)"
Hong Kong,"[102]",20140929,013447+0000,"Riot police fire tear gas on student protesters occupying streets surrounding the government headquarters in Hong Kong, early Monday, Sept. 29, 2014. A tense standoff between thousands of Hong Kong pro-democracy protesters and police warning of a crackdown spiraled into an extraordinary scene of chaos Sunday as the crowd jammed a busy road and clashed with officers wielding pepper spray. (AP Photo/Wally Santana)"
Hong Kong,"[102]",20140930,004110+0000,"Wrapped in plastic to shield from pepper spray, a student protester stands behind a makeshift barrier blocking main streets in the central business district of Hong Kong, late Monday, Sept. 29, 2014. Pro-democracy protesters expanded their rallies throughout Hong Kong on Monday, defying calls to disperse in a major pushback against Beijing's decision to limit democratic reforms in the Asian financial hub. (AP Photo/Vincent Yu)"
Berkeley,"[240/5/184]",20141208,204059+0000,"A California Highway Patrol office pushes a protester who blocked Highway 80 in response to police killings in Missouri and New York in Berkeley, Calif., Monday, Dec. 8, 2014.  Hundreds of people marched through downtown Berkeley Monday in reaction to the grand jury decisions not to indict white police officers in the deaths of two unarmed black men. (AP Photo/Jeff Chiu)"
Hong Kong,"[102]",20140928,175054+0000,"Riot police use tear gas against protesters after thousands of people blocked a main road at the financial central district in Hong Kong, Sunday, Sept. 28, 2014. Authorities launched their crackdown after the protest spiraled into an extraordinary scene of chaos as the crowd jammed a busy road and clashed with officers wielding pepper spray. (AP Photo/Vincent Yu)"
Mexico City,"[145/9]",20140930,000000+0000,"Students from the Polytechnical Institute show their student identifications as they protest in Mexico City, Tuesday, Sept. 30, 2014. Students of the National Polytechnical Institute (IPN) are protesting over a new set of internal rules and proposed changes in the school's curriculums that will downgrade their status as graduates. (AP Photo/Eduardo Verdugo)"
Kabul,"[1/13/140]",20150122,102710+0000,"Afghans hold posters that read, \"I love Muhammad,\" during a protest against caricatures published in French magazine Charlie Hebdo outside the French embassy in Kabul, Afghanistan, Thursday, Jan. 22, 2015. Around 100 people have demonstrated in the Afghan capital against the publishers of the French satirical magazine Charlie Hebdo, accusing them of blasphemy. (AP Photo/Rahmat Gul)"
Ankara,"[232/7]",20150218,140743+0000,"A Turkish woman offers a traditional sweet called \"Lokma\" to remember Ozgecan Aslan, 20, a student, whose body was found Friday in Mersin in southern Turkey, as human rights activists gather to protest her killing in Ankara, Turkey, Wednesday, Feb. 18, 2015. Aslan allegedly fought a sexual assault before being killed by the driver of a bus she'd taken to go home. The murder of young woman sparked outrage in Turkey. The placards read: \" Islam ( Aysenur Islam, Family Affairs minister), did you hear Ozgecan's scream? \" and \" End killings of women.\"(AP Photo/Burhan Ozbilici)"
Miami,"[240/10/360]",20150415,165443+0000,"Protestors applaud as they listen to speeches at the Greater Bethel AME Church in support of raising the minimum wage to $15 an hour as part of an expanding national movement known as  Fight for 15, Wednesday, April 15, 2015, in Miami. (AP Photo/Lynne Sladky)"
Nicosia,"[60/5/0]",20150304,172840+0000,"A protestor places banners on a mock coffin that reads in Greek: \"Public Wealth\", top, and \"Education\", during an anti-austerity demonstration outside a European Central Bank Governing Council meeting at the conference center in capital Nicosia, Cyprus, Wednesday, March 4, 2015. Several thousand demonstrators in Cyprus called for an end to austerity policies they say has driven many in the bailed-out country to poverty. (AP Photo/Petros Karadjias)"
Trenton,"[240/31/1787]",20150113,112436+0000,"Christina Biedeback, of Manahawking, N.J., who has still not been able to return to her Superstorm Sandy damaged home, holds a sign as she joins others to protest outside the State House before Gov. Chris Christie delivers his State of The State address Tuesday, Jan. 13, 2015, in Trenton, N.J. Environmental, education and labor activists along with the heckler whom Gov. Chris Christie told to sit down and shut up braved sub-freezing weather to criticize his management of the state. (AP Photo/Mel Evans)"
Ferguson,"[240/26/1581]",20141013,112512+0000,"A police officer looks back for help as he tries to keep protesters from advancing farther into the parking lot at the Ferguson, Mo., police station Monday, Oct. 13, 2014. Activists have planed a day of civil disobedience to protest the shooting of Michael Brown and a second police shooting in St. Louis. (AP Photo/Charles Rex Arbogast)"
Athens,"[89/2/6]",20140905,184412+0000,"A lesbian couple Christina, left, and Ioanna hold a banner that reads ''Same taxes, same rights'' during a protest outside Greece's Parliament in Athens on Friday, Sept. 5, 2014. Several hundred people took part in the peaceful march to Parliament, which is debating draft legislation to outlaw Holocaust denial and expand prosecution powers against the incitement of racial violence. Gay and Lesbian rights groups complain that the proposed legislation will not adequately address attacks on homosexual people, which they say are on the rise. (AP Photo/Thanassis Stavrakis)"
Hong Kong,"[102]",20141001,075238+0000,"Protesters shout slogans outside a flag-raising ceremony where Hong Kong's embattled leader attended in Hong Kong, Wednesday, Oct. 1, 2014, to mark China's National Day. Hong Kong Chief Executive Leung Chun-ying attended the flag-raising ceremony Wednesday to mark China's National Day after refusing to meet pro-democracy demonstrators despite their threats to expand the street protests that have posed the stiffest challenge to Beijing's authority since China took control of the former British colony in 1997. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141018,012241+0000,"Protesters gather at a main road in the Mong Kok district of Hong Kong, early Saturday, Oct. 18, 2014. Hong Kong riot police struggled to hold back hundreds of defiant pro-democracy activists who returned to a district that officers had partially cleared earlier Friday. Police used pepper spray and batons to fend off a huge crowd that had gathered in Mong Kok, and several protesters were seen knocked to the ground or carried away by police. (AP Photo/Vincent Yu)"
New York,"[240/33/1874,240/33/1872,240/33/1854,240/33/1833,240/33/1862]",20141125,225836+0000,"A demonstrator symbolically raises her hands in New York's Times Square as she joined others in protest against a grand jury's decision on Monday not to indict Ferguson police officer Darren Wilson in the fatal shooting of Michael Brown, Tuesday, Nov. 25, 2014, in New York. The grand jury's decision has inflamed racial tensions across the U.S. (AP Photo/Craig Ruttle)"
St. Louis,"[240/26/1581]",20141013,000000+0000,"A lone protester holds a sign as others occupy an intersection during a march through the streets of St. Louis protesting against recent shootings of young black men by law enforcement officers, early Monday, Oct. 13, 2014.  (AP Photo/Charles Rex Arbogast)"
Dallas,"[240/44/2584]",20141216,144905+0000,"Cameron Cerf  holds a protest sign with Southwest Airlines employees at the entrance to Love Field in Dallas, Tuesday, Dec. 16, 2014. Saying Southwest Airlines is neglecting workers and its customers, baggage handlers are bringing attention to the company's slide in on-time performance as they seek a new contract after three years of negotiations. (AP Photo/LM Otero)"
Hong Kong,"[102]",20141125,224126+0000,"Protesters shout slogans against policemen at an occupied area in Mong Kok district of Hong Kong Tuesday, Nov. 25, 2014. An attempt by Hong Kong authorities to clear a 2-month-old pro-democracy protest camp in Mong Kok district spiraled into chaos Tuesday as hundreds more protesters flooded the crowded neighborhood, a flashpoint for earlier violent clashes with police and angry mobs. A total of 80 people were arrested, police said. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141125,110643+0000,"A pro-democracy protester shouts slogans as workers start clearing away barricades at an occupied area in Mong Kok district of Hong Kong Tuesday, Nov. 25, 2014. Hong Kong authorities on Tuesday began clearing away some barricades from part of the pro-democracy protest site, scene of previous violent confrontations with police and angry mobs. The yellow banner reads: \"I want genuine universal suffrage.\" (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141213,134802+0000,"People write their support messages on the balloon in the Causeway Bay shopping district, one of the occupied areas in Hong Kong Saturday, Dec. 13, 2014. Traffic was back to normal Friday in Hong Kong's financial district after authorities demolished a protest camp at the heart of the city's 2 and a half month pro-democracy movement. (AP Photo/Kin Cheung)"
Brasilia,"[32/1/3]",20150315,105545+0000,"A family carries posters with \"Dilma out and Impechment Now\", written in Portuguese, during protest against the government of Brazil's President Dilma Rousseff, in Brasilia, Brazil, Sunday, March 15, 2015. Protests have been called for across Brazil to demonstrate against President Dilma Rousseff, whose popularity has never been lower as she faces a sputtering economy and a massive corruption scandal. (AP Photo/Eraldo Peres)"
Warsaw,"[179/9]",20141104,123131+0000,"CORRECTS NATIONALITY  TO POLISH - Polish apple growers participate in a demonstration in front of the Ministry of Economy in Warsaw, Poland, Tuesday, Nov. 4, 2014. The protesters called for aid from the state for fruit growers who suffered losses as a result of the Russian embargo.  (AP Photo/Czarek Sokolowski)"
New York,"[240/33/1874,240/33/1872,240/33/1854,240/33/1833,240/33/1862]",20141211,131349+0000,"Luke Nephew, a members of the Peace Poets, poses for a picture in New York, Thursday, Dec. 11, 2014. Protest songs are taking their place alongside chants of \"I can't breathe\" and \"Hands up, don't shoot\" as demonstrators raise their voices to condemn the deaths of unarmed black men at the hands of police. (AP Photo/Seth Wenig)"
Oakland,"[240/5/184]",20141124,221202+0000,"A police officer tries unsuccessfully to keep a protester from blocking Interstate 580 in Oakland, Calif on Monday, Nov. 24, 2014,  after the announcement of the grand jury decision not to indict Ferguson police officer Darren Wilson in the fatal shooting of Michael Brown, an unarmed 18-year-old. (AP Photo/Noah Berger)"
Seattle,"[240/48/2971]",20150414,142933+0000,"Hugo Diaz wears a sign that reads \"Black Lives Matter\" as he sits in front of a poster of photos of people who have been shot by law enforcement officers while he takes part in a protest against recent shootings of unarmed civilians by police, Tuesday, April 14, 2015, in downtown Seattle. The protest was one of several taking place in other cities in the U.S. (AP Photo/Ted S. Warren)"
Hong Kong,"[102]",20141009,183500+0000,"Benny Tai, founder of the Occupy Central civil disobedience movement, receives massage after a rally in the occupied areas at Central district in Hong Kong, Thursday, Oct. 9, 2014. A Hong Kong government official canceled planned talks with student protest leaders on Friday, saying they were unlikely to be constructive. (AP Photo/Vincent Yu)"
